Time,og_F,corr_F
23.1,4.94385,0.502977
23.2,4.85229,0.400154
23.3,5.12695,0.663551
23.4,4.85229,0.377628
23.5,5.24902,0.763095
23.6,4.82178,0.324592
23.7,5.21851,0.710059
23.8,4.91333,0.393616
23.9,5.24902,0.718043
24,4.94385,0.40161
24.1,4.85229,0.298787
24.2,5.09644,0.531674
24.3,5.12695,0.550921
24.4,5.18799,0.600698
24.5,5.00488,0.406325
24.6,5.31006,0.700242
24.7,4.97437,0.353289
24.8,5.64575,1.013406
24.9,4.85229,0.208683
25,5.37109,0.71622
25.1,4.91333,0.247197
25.2,5.40161,0.724214
25.3,5.06592,0.377261
25.4,5.15747,0.457548
25.5,5.18799,0.476805
25.6,4.94385,0.221402
25.7,5.43213,0.698419
25.8,4.97437,0.229396
25.9,5.49316,0.736923
26,5.06592,0.29842
26.1,5.49316,0.714397
26.2,5.0354,0.245374
26.3,5.49316,0.691871
26.4,5.12695,0.314398
26.5,5.46265,0.638835
26.6,5.18799,0.352912
26.7,5.15747,0.311129
26.8,5.61523,0.757626
26.9,5.21851,0.349643
27,5.49316,0.61303
27.1,5.00488,0.113487
27.2,5.52368,0.621024
27.3,5.12695,0.213031
27.4,5.52368,0.598498
27.5,5.15747,0.221025
27.6,5.31006,0.362352
27.7,5.18799,0.229019
27.8,5.15747,0.187236
27.9,5.40161,0.420113
28,5.09644,0.10368
28.1,5.5542,0.550177
28.2,5.09644,0.081154
28.3,5.34058,0.314031
28.4,5.12695,0.089138
28.5,5.52368,0.474605
28.6,5.18799,0.127652
28.7,5.5542,0.482599
28.8,5.40161,0.318746
28.9,5.37109,0.276963
29,5.40161,0.29622
29.1,5.15747,0.040817
29.2,5.49316,0.365244
29.3,5.0354,-0.103779
29.4,5.61523,0.464788
29.5,5.12695,-0.034755
29.6,5.52368,0.350712
29.7,5.15747,-0.026761
29.8,5.49316,0.297666
29.9,5.31006,0.103303
30,5.46265,0.24463
30.1,5.24902,0.019737
30.2,5.34058,0.100034
30.3,5.61523,0.363421
30.4,5.40161,0.138538
30.5,5.61523,0.340895
30.6,5.21851,-0.067088
30.7,5.76782,0.470959
30.8,5.21851,-0.089614
30.9,5.67627,0.356883
31,5.34058,0.00993
31.1,5.58472,0.242807
31.2,5.34058,-0.012596
31.3,5.24902,-0.115419
31.4,5.58472,0.209018
31.5,5.24902,-0.137945
31.6,5.61523,0.217002
31.7,5.12695,-0.282541
31.8,5.7373,0.316546
31.9,5.37109,-0.060927
32,5.58472,0.14144
32.1,5.15747,-0.297073
32.2,5.58472,0.118914
32.3,5.37109,-0.105979
32.4,5.34058,-0.147752
32.5,5.49316,-0.006435
32.6,5.34058,-0.170278
32.7,5.88989,0.367769
32.8,5.18799,-0.345394
32.9,5.64575,0.101103
33,5.15747,-0.39844
33.1,5.76782,0.200647
33.2,5.27954,-0.298896
33.3,5.76782,0.178121
33.4,5.37109,-0.229872
33.5,5.49316,-0.119065
33.6,5.61523,-0.008258
33.7,5.37109,-0.263661
33.8,5.7373,0.091286
33.9,5.37109,-0.286187
34,5.79834,0.1298
34.1,5.34058,-0.339223
34.2,5.88989,0.198824
34.3,5.21851,-0.483819
34.4,5.85938,0.145788
34.5,5.43213,-0.292725
34.6,5.49316,-0.242958
34.7,5.70679,-0.040591
34.8,5.52368,-0.234964
34.9,5.82886,0.058953
35,5.49316,-0.28801
35.1,5.76782,-0.024613
35.2,5.49316,-0.310536
35.3,5.92041,0.105451
35.4,5.49316,-0.333062
35.5,5.76782,-0.069665
35.6,5.49316,-0.355588
35.7,5.7373,-0.122711
35.8,5.49316,-0.378114
35.9,5.61523,-0.267307
36,5.98145,0.08765
36.1,5.46265,-0.442413
36.2,5.98145,0.065124
36.3,5.52368,-0.403909
36.4,6.22559,0.286738
36.5,5.58472,-0.365395
36.6,6.073,0.111622
